Player,Team,Rating,Original_Pos,Group,Sub_Pos
Loum Tchaouna,Burnley,71,RM,MID,RM
Ben Gannon-Doak,AFC Bournemouth,71,RM,MID,RM
Romaine Mundle,Sunderland,71,LW,FWD,LW
Max Weiß,Burnley,68,GK,GK,GK
Julio Soler,AFC Bournemouth,68,LB,DEF,LB
Chris Rigg,Sunderland,71,CAM,MID,CAM
Romain Esse,Crystal Palace,70,RW,FWD,RW
Oliver Scarles,West Ham United,70,LB,DEF,LB
Tom Watson,Brighton & Hove Albion,68,LM,MID,LM
George Earthy,West Ham United,67,CAM,MID,CAM
Lewis Orford,West Ham United,61,CDM,MID,DM
Zach Abbott,Nottingham Forest,61,CB,DEF,CB
Rhys Williams,Liverpool,61,CB,DEF,CB
Harrison Ashby,Newcastle United,64,RB,DEF,RB
Dane Scarlett,Tottenham Hotspur,65,ST,FWD,ST
Adam Aznou,Everton,66,LB,DEF,LB
Harrison Jones,Sunderland,60,CAM,MID,CAM
Julian Eyestone,Brentford,58,GK,GK,GK
Caleb Kporha,Crystal Palace,62,RB,DEF,RB
Diego León,Manchester United,64,LB,DEF,LB
Sam Chambers,Leeds United,61,CAM,MID,CAM
Gustavo Nunes,Brentford,65,LM,MID,LM
Remy Rees-Dottin,AFC Bournemouth,60,ST,FWD,ST
Joe Knight,Brighton & Hove Albion,59,CM,MID,CM
Chido Obi,Manchester United,65,ST,FWD,ST
Mateus Mané,Wolverhampton Wanderers,60,RW,FWD,RW
Ármin Pécsi,Liverpool,64,GK,GK,GK
Rio Cardines,Crystal Palace,62,RB,DEF,RB
Bradley Burrowes,Aston Villa,65,RM,MID,RM
Nehemiah Oriola,Brighton & Hove Albion,59,LM,MID,LM
Simon Moore,Sunderland,66,GK,GK,GK
Mark Gillespie,Newcastle United,62,GK,GK,GK
Alex Cairns,Leeds United,63,GK,GK,GK
Remi Matthews,Crystal Palace,63,GK,GK,GK
Tom King,Everton,64,GK,GK,GK
Ellery Balcombe,Brentford,63,GK,GK,GK
Ajibola Alese,Sunderland,66,LB,DEF,LB
Tom McGill,Brighton & Hove Albion,62,GK,GK,GK
Paris Maghoma,Brentford,66,CM,MID,CM
Calvin Ramsay,Liverpool,65,RB,DEF,RB
Leo Hjelde,Sunderland,66,LB,DEF,LB
Jay Matete,Sunderland,64,CM,MID,CM
Matthew Cox,Brentford,65,GK,GK,GK
Abdoullah Ba,Sunderland,65,RW,FWD,RW
Harry Tyrer,Everton,64,GK,GK,GK
Tyler Fredricson,Manchester United,65,CB,DEF,CB
Max Thompson,Newcastle United,58,GK,GK,GK
Alex Murphy,Newcastle United,64,LB,DEF,LB
Owen Bevan,AFC Bournemouth,62,CB,DEF,CB
Jaydon Banel,Burnley,64,LM,MID,LM
Joe Anderson,Sunderland,63,CB,DEF,CB
Enock Agyei,Burnley,63,RM,MID,RM
Ahmed Abdullahi,Sunderland,58,ST,FWD,ST
Enso González,Wolverhampton Wanderers,63,LW,FWD,LW
Yunus Emre Konak,Brentford,62,CDM,MID,DM
Benjamin Arthur,Brentford,65,CB,DEF,CB
Jonah Kusi-Asare,Bayern München,60,ST,FWD,ST
Romelle Donovan,Brentford,61,RM,MID,RM
Trey Nyoni,Liverpool,64,CM,MID,CM
Tawanda Chirewa,Wolverhampton Wanderers,64,LM,MID,LM
